,CASE_NUM,datetime,LONGITUDE,LATITUDE,score
16677,SAPD16264922,12/5/2016 12:00,-98.527222,29.390556,590.4291493
16689,SAPD16264955,12/5/2016 15:00,-98.51858912,29.54799074,541.2126841
16688,SAPD16264792,12/5/2016 15:07,-98.57030407,29.48405829,686.7897804
16687,SAPD16264856,12/5/2016 16:15,-98.63655702,29.45351902,481.5743008
16686,SAPD16270708,12/5/2016 17:00,-98.50765612,29.44349383,727.0518105
16652,SAPD16264943,12/5/2016 17:08,-98.53139551,29.4345393,750.9717909
16668,SAPD16264980,12/5/2016 18:00,-98.56618409,29.42597555,675.895553
16667,SAPD16265327,12/5/2016 18:30,-98.63423206,29.56669713,362.3196236
16685,SAPD16264976,12/5/2016 19:31,-98.60491754,29.56527158,446.3753715
16683,SAPD16265305,12/5/2016 21:00,-98.42483395,29.41065751,546.3465744
16684,SAPD16265701,12/5/2016 21:00,-98.49158925,29.42440184,742.1552315
16682,SAPD16265344,12/5/2016 22:00,-98.47418902,29.40214405,689.2244821
16082,SAPD16265144,12/6/2016 0:30,-98.60257168,29.46863878,673.5657208
16081,SAPD16265171,12/6/2016 3:05,-98.557222,29.545833,650.3572801
16080,SAPD16265651,12/6/2016 5:00,-98.42468304,29.41025436,596.6362113
16079,SAPD16265846,12/6/2016 6:00,-98.50783108,29.36324823,646.7318173
16078,SAPD16265842,12/6/2016 6:30,-98.52157582,29.4070068,823.8181819
16076,SAPD16265802,12/6/2016 7:00,-98.56873797,29.44511897,849.9113714
16077,SAPD16265658,12/6/2016 7:00,-98.57845066,29.45108584,819.032404
16072,SAPD16265376,12/6/2016 8:00,-98.4825,29.360833,669.7837569
16073,SAPD16265726,12/6/2016 8:00,-98.46312498,29.42135423,813.682743
16074,SAPD16265698,12/6/2016 8:00,-98.30421444,29.4677733,235.1258544
16075,SAPD16265602,12/6/2016 8:00,-98.54420518,29.44950158,859.2073474
16062,SAPD16265702,12/6/2016 8:30,-98.52368591,29.48354598,893.811142
16061,SAPD16265680,12/6/2016 9:00,-98.58978586,29.44911387,826.9568363
16071,SAPD16265527,12/6/2016 9:30,-98.49919141,29.50218207,863.5772203
16070,SAPD16265443,12/6/2016 12:20,-98.5770952,29.53487719,734.7209295
16069,SAPD16265493,12/6/2016 13:00,-98.55042994,29.39823863,850.2107454
16068,SAPD16265932,12/6/2016 13:40,-98.41109912,29.52615947,603.8757857
16067,SAPD16265587,12/6/2016 14:45,-98.4274807,29.36940718,617.6955272
16066,SAPD16265731,12/6/2016 15:00,-98.54370559,29.33853886,595.5413502
16065,SAPD16265933,12/6/2016 19:00,-98.4218543,29.3630812,602.0551203
16064,SAPD16265857,12/6/2016 20:38,-98.410556,29.376111,614.8869848
16063,SAPD16266146,12/6/2016 22:00,-98.65903099,29.47372537,605.825296
15487,SAPD16266468,12/7/2016 5:30,-98.51658315,29.37768151,887.0429524
15484,SAPD16266546,12/7/2016 9:00,-98.49181061,29.33825371,676.8701001
15485,SAPD16266354,12/7/2016 9:00,-98.44654829,29.42905012,931.4633331
15486,SAPD16266342,12/7/2016 9:00,-98.52615227,29.40673227,1044.518089
15482,SAPD16266671,12/7/2016 9:30,-98.48552163,29.36615814,881.7115649
15483,SAPD16266469,12/7/2016 9:30,-98.54128382,29.39805475,981.6718787
15470,SAPD16266135,12/7/2016 10:00,-98.51992598,29.41747904,1091.266787
15481,SAPD16267989,12/7/2016 10:00,-98.50377244,29.39022771,1040.539319
15468,SAPD16266140,12/7/2016 10:15,-98.57056354,29.45703312,1057.080514
15479,SAPD16266213,12/7/2016 12:00,-98.44188098,29.3307902,638.1659451
15473,SAPD16266230,12/7/2016 12:23,-98.51203888,29.42123713,1137.038559
15472,SAPD16266266,12/7/2016 13:19,-98.51134652,29.53151367,885.8328279
15471,SAPD16266276,12/7/2016 13:30,-98.41452551,29.56016324,569.4738627
15456,SAPD16266575,12/7/2016 15:00,-98.58814059,29.4504052,1013.699342
15478,SAPD16266350,12/7/2016 15:00,-98.50030057,29.37179998,987.859468
15477,SAPD16266443,12/7/2016 17:32,-98.53613675,29.38550834,1050.958779
15476,SAPD16266557,12/7/2016 19:00,-98.52144787,29.42758009,1260.42632
15474,SAPD16266571,12/7/2016 19:30,-98.53996108,29.51313164,1009.430942
15475,SAPD16267345,12/7/2016 22:30,-98.4227758,29.52058809,796.8540765
14826,SAPD16267338,12/8/2016 5:00,-98.52437229,29.43642464,1325.992595
14825,SAPD16267250,12/8/2016 5:30,-98.6367344,29.45066414,808.319724
14824,SAPD16267391,12/8/2016 6:00,-98.5214574,29.43143384,1343.262773
14823,SAPD16267104,12/8/2016 6:10,-98.61586617,29.55723285,719.84952
14822,SAPD16267242,12/8/2016 7:00,-98.60041975,29.34418887,749.5285732
14923,SAPD16267135,12/8/2016 8:00,-98.5839977,29.40911688,1071.719544
14821,SAPD16267181,12/8/2016 8:45,-98.4144438,29.35231909,723.4392973
14820,SAPD16267208,12/8/2016 10:00,-98.43763066,29.41924201,1058.127564
14819,SAPD16267297,12/8/2016 10:30,-98.49805764,29.3675857,1137.191364
14818,SAPD16267083,12/8/2016 11:30,-98.487778,29.414167,1247.739297
14817,SAPD16267239,12/8/2016 13:00,-98.64695008,29.40268946,747.4982886
14944,SAPD16267339,12/8/2016 13:00,-98.5998722,29.34366288,800.8994891
14922,SAPD16267188,12/8/2016 13:30,-98.6845115,29.48349403,631.5354786
14943,SAPD16267178,12/8/2016 15:00,-98.37823645,29.57357904,453.0603114
14937,SAPD16267209,12/8/2016 16:41,-98.40489671,29.38107621,857.6225473
14911,SAPD16267486,12/8/2016 17:00,-98.5293857,29.41455916,1388.436558
14942,SAPD16267245,12/8/2016 17:51,-98.45327962,29.44400134,1197.419235
14941,SAPD16271143,12/8/2016 19:00,-98.59823974,29.55071524,876.7627333
14940,SAPD16267449,12/8/2016 19:23,-98.50756293,29.3979906,1351.318739
14939,SAPD16268084,12/8/2016 22:00,-98.51023627,29.46586126,1382.589344
14234,SAPD16267521,12/9/2016 0:45,-98.5463467,29.42436691,1407.959431
14254,SAPD16271032,12/9/2016 3:00,-98.48789749,29.45464629,1349.300727
14253,SAPD16267554,12/9/2016 3:15,-98.50055711,29.52752228,1127.659769
14252,SAPD16268240,12/9/2016 6:45,-98.60343291,29.34648988,879.7760459
14250,SAPD16268185,12/9/2016 8:00,-98.47913586,29.56224054,912.874984
14251,SAPD16268080,12/9/2016 8:00,-98.42175812,29.52056495,955.0006448
14249,SAPD16267813,12/9/2016 8:10,-98.60169104,29.50641585,1116.038622
14248,SAPD16268043,12/9/2016 9:00,-98.68164276,29.49597671,695.0577067
14230,SAPD16268052,12/9/2016 9:30,-98.53570601,29.39560868,1424.28494
14246,SAPD16267777,12/9/2016 10:00,-98.47245824,29.44178322,1415.834197
14247,SAPD16267896,12/9/2016 10:00,-98.47578592,29.40599378,1381.265297
14245,SAPD16267834,12/9/2016 12:00,-98.49470526,29.36602309,1304.053758
14233,SAPD16267874,12/9/2016 13:00,-98.49675398,29.55845522,1016.424101
14232,SAPD16267831,12/9/2016 13:25,-98.55325281,29.41109295,1471.462115
14244,SAPD16268204,12/9/2016 13:30,-98.52705959,29.59506876,749.5540188
14216,SAPD16268014,12/9/2016 13:45,-98.4889528,29.56611311,984.0504754
14243,SAPD16268554,12/9/2016 16:00,-98.42205033,29.41448823,1134.986381
14242,SAPD16270116,12/9/2016 16:45,-98.55940878,29.3991175,1384.438437
14241,SAPD16268186,12/9/2016 17:00,-98.49720399,29.46822094,1485.139416
14240,SAPD16268849,12/9/2016 17:30,-98.5327884,29.43504859,1607.414401
14238,SAPD16269382,12/9/2016 18:00,-98.56503087,29.49154887,1426.063836
14239,SAPD16268055,12/9/2016 18:00,-98.46559441,29.39866981,1414.238377
14237,SAPD16268219,12/9/2016 18:50,-98.45711413,29.39378535,1401.165895
14236,SAPD16274881,12/9/2016 21:00,-98.50443289,29.34472071,1156.492164
14215,SAPD16270058,12/9/2016 22:00,-98.40935856,29.42141825,1135.415333
13646,SAPD16270269,12/10/2016 0:01,-98.63895954,29.45322642,1084.21715
13645,SAPD16268629,12/10/2016 5:40,-98.57025202,29.4543133,1526.919819
13644,SAPD16269620,12/10/2016 7:00,-98.42491282,29.45581718,1295.507556
13642,SAPD16268763,12/10/2016 9:00,-98.53871605,29.41514344,1693.115331
13643,SAPD16268945,12/10/2016 9:00,-98.46520124,29.36890681,1348.41227
13641,SAPD16268479,12/10/2016 9:30,-98.58840938,29.44942965,1495.75572
13640,SAPD16268460,12/10/2016 9:35,-98.44085921,29.51030797,1267.8557
13705,SAPD16278889,12/10/2016 12:00,-98.66286626,29.39748931,853.9415603
13596,SAPD16268831,12/10/2016 13:45,-98.47036645,29.49543545,1473.762612
13615,SAPD16269847,12/10/2016 14:00,-98.47900813,29.51294125,1411.275594
13639,SAPD16268735,12/10/2016 16:00,-98.52390428,29.37941537,1551.471894
13638,SAPD16268827,12/10/2016 18:30,-98.43825976,29.41117231,1388.700095
13704,SAPD16269216,12/10/2016 21:00,-98.67530548,29.41739999,814.3961132
13637,SAPD16269166,12/10/2016 22:15,-98.57647521,29.44550441,1635.491118
12908,SAPD16269354,12/11/2016 13:56,-98.43563219,29.52761709,1136.920147
12944,SAPD16269423,12/11/2016 15:30,-98.52188419,29.55087964,1216.49798
12943,SAPD16269499,12/11/2016 18:06,-98.5279361,29.430264,1807.520099
12942,SAPD16269548,12/11/2016 19:05,-98.65530734,29.42618996,1031.79954
12927,SAPD16269563,12/11/2016 19:19,-98.58478292,29.43141813,1627.854649
12940,SAPD16271742,12/11/2016 21:00,-98.58478292,29.43141813,1633.025473
12939,SAPD16270170,12/11/2016 21:59,-98.65946958,29.45528447,1029.130941
12928,SAPD16269842,12/11/2016 22:00,-98.52126032,29.58666849,960.3508176
12938,SAPD16269753,12/11/2016 23:00,-98.38628435,29.49334346,1014.043873
12937,SAPD16269987,12/11/2016 23:45,-98.58434192,29.53386531,1237.406574
12299,SAPD16270481,12/12/2016 5:30,-98.47458523,29.42283214,1630.522312
12297,SAPD16270248,12/12/2016 6:00,-98.54618691,29.47774591,1751.789388
12298,SAPD16270039,12/12/2016 6:00,-98.56885521,29.53085945,1347.673793
12296,SAPD16270433,12/12/2016 7:00,-98.5566354,29.45784129,1801.617873
12393,SAPD16270195,12/12/2016 7:00,-98.44765444,29.64746078,446.9074177
12301,SAPD16270205,12/12/2016 9:00,-98.61254576,29.40580248,1348.445605
12391,SAPD16269939,12/12/2016 9:00,-98.51611751,29.40366947,1768.285546
12300,SAPD16270391,12/12/2016 9:30,-98.48442279,29.51328095,1545.722864
12294,SAPD16269968,12/12/2016 10:00,-98.5165724,29.42656474,1872.448421
12295,SAPD16271115,12/12/2016 10:00,-98.52668455,29.36628959,1427.061994
12293,SAPD16269955,12/12/2016 10:04,-98.48431752,29.36739341,1483.532126
12292,SAPD16270019,12/12/2016 11:10,-98.52901905,29.39332062,1745.943874
12291,SAPD16270254,12/12/2016 12:00,-98.43868598,29.41859007,1551.943011
12412,SAPD16270338,12/12/2016 12:00,-98.70568636,29.43928361,739.5733323
12290,SAPD16270137,12/12/2016 12:40,-98.57961517,29.42509226,1737.334954
12417,SAPD16270294,12/12/2016 15:00,-98.51712244,29.54759973,1414.055011
12416,SAPD16270434,12/12/2016 16:30,-98.48298288,29.42566051,1838.577268
12414,SAPD16271400,12/12/2016 17:00,-98.37688564,29.42068206,1019.594965
12415,SAPD16270509,12/12/2016 17:00,-98.51796883,29.55304419,1395.857326
12413,SAPD16270367,12/12/2016 17:54,-98.51346649,29.55283599,1405.497732
12392,SAPD16270835,12/12/2016 18:00,-98.65072469,29.46667837,1257.653939
11742,SAPD16270649,12/13/2016 0:01,-98.50088411,29.54856965,1416.586454
11741,SAPD16270853,12/13/2016 3:30,-98.4395186,29.58790272,898.2762097
11739,SAPD16270623,12/13/2016 6:30,-98.50484264,29.52425029,1634.47203
11740,SAPD16270928,12/13/2016 6:30,-98.49878417,29.3617628,1618.409463
11755,SAPD16271019,12/13/2016 7:00,-98.49049649,29.51114319,1698.979945
11738,SAPD16271108,12/13/2016 7:30,-98.40304211,29.49155099,1319.572869
11737,SAPD16271129,12/13/2016 8:00,-98.46476456,29.3713261,1565.776824
11736,SAPD16270948,12/13/2016 8:34,-98.52782571,29.42629776,1994.37597
11735,SAPD16271073,12/13/2016 8:45,-98.52506343,29.34320667,1384.844835
11734,SAPD16270940,12/13/2016 9:00,-98.69685306,29.44445197,873.8920338
11743,SAPD16271044,12/13/2016 9:00,-98.56169613,29.48144584,1913.549724
11733,SAPD16270745,12/13/2016 9:45,-98.52074937,29.43497739,2128.104732
11752,SAPD16270752,12/13/2016 9:45,-98.52529977,29.58885782,1140.753994
11754,SAPD16270814,12/13/2016 10:00,-98.47030991,29.41784893,1891.078085
11731,SAPD16283271,12/13/2016 10:30,-98.63102418,29.36725437,1169.410754
11732,SAPD16270838,12/13/2016 10:30,-98.38817142,29.48852987,1231.795815
11730,SAPD16270822,12/13/2016 10:45,-98.290556,29.486389,471.5981769
11729,SAPD16271025,12/13/2016 11:30,-98.55994653,29.43548212,2014.429361
11728,SAPD16270862,12/13/2016 12:40,-98.39282956,29.39355821,1214.776621
11727,SAPD16271005,12/13/2016 14:45,-98.54416805,29.45655998,2090.770083
11753,SAPD16271613,12/13/2016 15:00,-98.53171731,29.51998942,1767.84675
11726,SAPD16271246,12/13/2016 19:00,-98.60340701,29.34662933,1236.712786
11070,SAPD16271769,12/14/2016 0:01,-98.58753119,29.50717106,1704.441637
11050,SAPD16274383,12/14/2016 1:00,-98.49986072,29.37236283,1841.072994
11069,SAPD16272544,12/14/2016 3:00,-98.51858912,29.54799074,1547.247724
11068,SAPD16272024,12/14/2016 5:00,-98.47525868,29.29450972,917.3507752
11150,SAPD16271890,12/14/2016 5:30,-98.43407679,29.48919448,1645.011455
11072,SAPD16272117,12/14/2016 6:00,-98.6650904,29.46597157,1218.724099
11067,SAPD16271727,12/14/2016 7:00,-98.48668914,29.38898483,1923.388904
11066,SAPD16271970,12/14/2016 7:30,-98.36661863,29.46856775,1173.255569
11065,SAPD16271706,12/14/2016 7:45,-98.51893618,29.5694903,1326.081745
11064,SAPD16271907,12/14/2016 8:00,-98.54342062,29.45259308,2152.14516
11149,SAPD16272058,12/14/2016 8:00,-98.59668918,29.50482016,1755.071442
11063,SAPD16274947,12/14/2016 9:00,-98.43723583,29.36561768,1476.131516
11062,SAPD16272046,12/14/2016 9:15,-98.57996115,29.52389919,1624.212208
11061,SAPD16271538,12/14/2016 9:30,-98.63514671,29.41149203,1435.668214
11177,SAPD16270756,12/14/2016 10:15,-98.44966968,29.5029941,1793.00129
11060,SAPD16272071,12/14/2016 10:30,-98.47499129,29.41968566,2064.85821
11059,SAPD16271634,12/14/2016 10:45,-98.59472934,29.44962255,1881.514619
11058,SAPD16271951,12/14/2016 13:00,-98.52053626,29.40545341,2094.411296
11057,SAPD16271719,12/14/2016 14:00,-98.57669979,29.47510983,2010.144666
11056,SAPD16273212,12/14/2016 18:00,-98.45565389,29.39465463,1892.378529
